,Definition,Description,#Unique,TopValue,%UsedTop,%Missing,Unit,Type,Dtype
age,Age in years,123,98,24,3.59,20.09,years,cont,float64
fare,Passenger fare,-,281,8.05,4.58,0.08,usd,cont,float64
pclass,Ticket class,"1 = 1st, 2 = 2nd, 3 = 3rd",3,3,54.16,0.0,-,ordinal,int64
survived,Survival,"0 = No, 1 = Yes",2,0,61.8,0.0,-,binary,int64
sibsp,# of siblings / spouses aboard the Titanic,123,7,0,68.07,0.0,person,discr,int64
parch,# of parents / children aboard the Titanic,123,8,0,76.55,0.0,person,discr,int64
name,passengers names,- ,1307,"Connolly, Miss. Kate",0.15,0.0,-,nominal,object
sex,Sex,"f,m",2,male,64.4,0.0,-,binary,object
ticket,Ticket number,-,939,CA. 2343,0.84,0.0,-,nominal,object
cabin,Cabin number,-,186,C23 C25 C27,0.46,77.46,-,nominal,object
embarked,Port of Embarkation,"C = Cherbourg, Q = Queenstown, S = Southampton",3,S,69.82,0.15,-,nominal,object
